Action;Activity_details;Activity_type;DB_File_Num;uniquesod;koddoc;time:timestamp;User_id
Добавление документа;[Выход из закалки поддона № 64243]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937681;2012-07-02T6:29:35.000+0300;282
Добавление документа;[Выход из закалки поддона № 64244]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937682;2012-07-02T6:29:37.000+0300;282
Добавление документа;[Выход из закалки поддона № 64245]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937683;2012-07-02T6:29:40.000+0300;282
Добавление документа;[Выход из закалки поддона № 64246]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937684;2012-07-02T6:29:42.000+0300;282
Добавление документа;[Выход из закалки поддона № 64247]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937685;2012-07-02T6:29:45.000+0300;282
Добавление документа;[Выход из закалки поддона № 64248]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937686;2012-07-02T6:29:47.000+0300;282
Добавление документа;[Выход из закалки поддона № 64249]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937687;2012-07-02T6:29:49.000+0300;282
Добавление документа;[Выход из закалки поддона № 64250]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937688;2012-07-02T6:29:52.000+0300;282
Добавление документа;[Выход из закалки поддона № 64221]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937659;2012-07-02T6:29:55.000+0300;282
Добавление документа;[Выход из закалки поддона № 64252]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937690;2012-07-02T6:31:44.000+0300;282
Добавление документа;[Выход из закалки поддона № 64253]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937691;2012-07-02T6:31:47.000+0300;282
Добавление документа;[Выход из закалки поддона № 64254]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937692;2012-07-02T6:31:49.000+0300;282
Добавление документа;[Выход из закалки поддона № 64255]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937693;2012-07-02T6:31:52.000+0300;282
Добавление документа;[Выход из закалки поддона № 64256]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937694;2012-07-02T6:31:54.000+0300;282
Добавление документа;[Выход из закалки поддона № 64257]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937695;2012-07-02T6:31:56.000+0300;282
Добавление документа;[Выход из закалки поддона № 64258]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937696;2012-07-02T6:31:59.000+0300;282
Добавление документа;[Выход из закалки поддона № 64259]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937697;2012-07-02T6:32:01.000+0300;282
